filename,num_nodes,num_edges,num_cc,dens,max_diam,l_channels_km,depth_mean
config_full\config_full_100_bedelevation,202,234,19,0.7685,5.89,81.57,-1.0678451014957264
config_full\config_full_101_bedelevation,194,213,14,0.7282,6.72,81.56,-1.13401282243662
config_full\config_full_102_bedelevation,173,195,13,0.7471,6.11,79.4,-1.0258453332820514
config_full\config_full_103_bedelevation,178,201,14,0.7486,6.61,82.78,-0.9512768660248757
config_full\config_full_104_bedelevation,190,216,15,0.7539,6.25,83.02,-1.147695651898148
config_full\config_full_105_bedelevation,188,222,16,0.7831,9.45,76.86,-0.9674121989189187
config_full\config_full_10_bedelevation,185,204,18,0.7312,7.45,78.47,-1.0009890800245098
config_full\config_full_11_bedelevation,205,238,11,0.7702,8.92,82.91,-1.1374206213445377
config_full\config_full_12_bedelevation,199,215,23,0.7167,6.3,78.06,-1.1000397778604651
config_full\config_full_13_bedelevation,192,225,11,0.7772,8.57,79.78,-1.106640821662222
config_full\config_full_14_bedelevation,188,219,13,0.7725,6.19,76.55,-1.1201854534018265
config_full\config_full_15_bedelevation,202,233,18,0.7652,7.09,81.58,-1.0046082482274679
config_full\config_full_16_bedelevation,215,237,17,0.7315,7.12,77.23,-1.1470108493628692
config_full\config_full_17_bedelevation,212,234,21,0.7324,7.28,80.03,-1.0730551383076923
config_full\config_full_18_bedelevation,213,235,21,0.7321,7.73,79.98,-0.959946839531915
config_full\config_full_19_bedelevation,205,249,16,0.8058,6.43,80.66,-1.0008348184698794
config_full\config_full_1_bedelevation,198,217,22,0.727,6.82,78.42,-1.0232200977419357
config_full\config_full_20_bedelevation,181,191,18,0.6996,6.94,78.68,-1.0957998938743456
config_full\config_full_21_bedelevation,175,214,6,0.8106,8.33,75.72,-1.5838968188084113
config_full\config_full_22_bedelevation,196,208,24,0.7039,5.9,74.79,-1.037052903778846
config_full\config_full_23_bedelevation,200,238,7,0.7894,7.12,77.71,-1.0795537945378153
config_full\config_full_24_bedelevation,194,206,18,0.7043,7.35,77.15,-1.0692729151941749
config_full\config_full_25_bedelevation,207,232,25,0.7436,6.35,74.81,-0.9736975563836208
config_full\config_full_26_bedelevation,190,218,15,0.7609,7.94,77.6,-0.920420267385321
config_full\config_full_27_bedelevation,166,192,12,0.7665,7.23,79.16,-1.1169204988958332
config_full\config_full_28_bedelevation,207,225,21,0.7212,5.73,80.49,-1.1679554169555555
config_full\config_full_29_bedelevation,216,246,16,0.7558,7.06,76.51,-0.977345222195122
config_full\config_full_2_bedelevation,184,211,9,0.7604,5.93,80.06,-0.9405642372511847
config_full\config_full_30_bedelevation,194,218,19,0.7453,7.57,79.13,-1.0279945634357799
config_full\config_full_31_bedelevation,187,208,14,0.7376,8.32,80.12,-0.9895741944230768
config_full\config_full_32_bedelevation,182,198,21,0.7213,7.46,82.56,-1.0862333937373736
config_full\config_full_33_bedelevation,194,214,21,0.7316,8.32,80.34,-0.9620275515420559
config_full\config_full_34_bedelevation,202,230,14,0.7553,5.63,72.67,-0.9641483209130434
config_full\config_full_35_bedelevation,213,245,14,0.7632,7.24,77.49,-1.0874798124081633
config_full\config_full_36_bedelevation,196,213,22,0.7208,6.37,86.0,-1.0741201307230048
config_full\config_full_37_bedelevation,209,232,18,0.7365,7.44,81.87,-1.1331411531681035
config_full\config_full_38_bedelevation,185,213,16,0.7634,7.7,77.3,-0.9318123488497653
config_full\config_full_39_bedelevation,201,232,18,0.7657,8.7,78.9,-1.100321011724138
config_full\config_full_3_bedelevation,202,230,11,0.7553,6.32,77.67,-1.1636601494130436
config_full\config_full_40_bedelevation,222,245,17,0.7324,7.7,79.85,-1.114601485755102
config_full\config_full_41_bedelevation,195,216,17,0.7347,9.37,86.88,-1.1324253571296297
config_full\config_full_42_bedelevation,187,222,17,0.7872,5.48,82.05,-1.0484920704324325
config_full\config_full_43_bedelevation,193,214,19,0.7354,5.26,80.21,-0.8998963656308411
config_full\config_full_44_bedelevation,192,218,16,0.753,4.7,74.52,-0.9596698423623854
config_full\config_full_45_bedelevation,179,206,13,0.763,6.35,78.05,-1.1148332874320388
config_full\config_full_46_bedelevation,218,238,19,0.7245,7.04,76.38,-1.1534064747100838
config_full\config_full_47_bedelevation,198,218,18,0.7303,8.84,77.88,-0.9758280189908256
config_full\config_full_48_bedelevation,190,210,19,0.733,7.03,78.65,-1.1281440541428571
config_full\config_full_49_bedelevation,179,201,13,0.7444,8.35,72.25,-1.0012603669950246
config_full\config_full_4_bedelevation,203,239,13,0.781,6.35,87.36,-1.3529620435564853
config_full\config_full_50_bedelevation,191,224,14,0.7778,5.1,81.1,-0.9535135692187501
config_full\config_full_51_bedelevation,203,246,7,0.8039,6.94,84.8,-1.1074430985528456
config_full\config_full_52_bedelevation,205,229,18,0.7411,9.13,79.89,-1.0229393271790392
config_full\config_full_53_bedelevation,211,227,26,0.7138,5.96,79.84,-0.9114304146696034
config_full\config_full_54_bedelevation,204,219,19,0.7122,7.92,84.72,-1.1157220993789954
config_full\config_full_55_bedelevation,222,255,15,0.7623,8.26,83.97,-1.0668764132549018
